City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Urumqi,CN,2022-04-16 19:33:45,43.801,87.6005,49.15,16,0,15.66
257,Nioro,GM,2022-04-16 19:33:46,13.35,-15.75,84.0,32,13,10.65
258,Raga,SS,2022-04-16 19:33:46,8.4596,25.678,86.31,42,100,7.05
259,Garmsar,IR,2022-04-16 19:33:46,35.2182,52.3409,61.57,52,24,3.0
260,Faanui,PF,2022-04-16 19:33:47,-16.4833,-151.75,81.9,72,4,15.5
261,Dikson,RU,2022-04-16 19:33:47,73.5069,80.5464,11.57,94,100,16.24
262,Manzanillo,CU,2022-04-16 19:33:48,20.3433,-77.1167,81.77,64,48,8.01
263,Maceio,BR,2022-04-16 19:33:48,-9.6658,-35.7353,87.24,66,20,14.97
264,Juazeiro,BR,2022-04-16 19:33:48,-9.4117,-40.4986,77.18,94,40,4.61
265,Yamada,JP,2022-04-16 19:33:49,39.4667,141.95,37.29,79,1,6.24
266,Tomelloso,ES,2022-04-16 19:33:49,39.1522,-3.0243,68.52,37,0,6.8
267,Bilma,NE,2022-04-16 19:33:50,18.6853,12.9164,89.92,9,10,3.51
268,Asau,RO,2022-04-16 19:33:50,46.4333,26.4,44.96,93,100,8.03
269,Bilibino,RU,2022-04-16 19:33:50,68.0546,166.4372,12.45,94,79,3.06
270,San Cristobal,VE,2022-04-16 19:33:51,7.7669,-72.225,80.78,57,100,7.05
271,Lilongwe,MW,2022-04-16 19:33:51,-13.9669,33.7873,64.94,84,8,2.26
272,Hasaki,JP,2022-04-16 19:33:52,35.7333,140.8333,41.4,63,100,8.52
273,Torbay,CA,2022-04-16 19:33:52,47.6666,-52.7314,56.17,50,0,24.16
274,Altoona,US,2022-04-16 19:34:52,40.5187,-78.3947,58.89,81,97,5.99
275,Lavrentiya,RU,2022-04-16 19:34:53,65.5833,-171.0,27.05,94,99,10.6
276,Warrnambool,AU,2022-04-16 19:34:23,-38.3833,142.4833,64.81,50,100,15.23
277,Pindiga,NG,2022-04-16 19:34:54,9.9833,10.9333,91.26,35,7,3.2
278,Palu,ID,2022-04-16 19:34:54,-0.8917,119.8707,76.12,97,100,2.06
